"","functionName","fileLocation","declarationStmts","executableStmts","conditionalStmts","loopStmts","returnStmts","parametersCount","callExprs","newExprs","assignmentExprs","memberExprs","cluster"
"64","[808] fechaTela","D:\apps\wdoc\src\main\webapp\Web\wdoc\ConsultaDocumento\PesquisaUsuario.xhtml?22:17-82:17?12:24-21:25",2,2,1,0,0,0,5,0,0,6,2
"65","[812] fechaTela","D:\apps\wdoc\src\main\webapp\Web\wdoc\ConsultaDocumento\PesquisaUnidade.xhtml?22:17-74:17?12:24-20:25",2,2,1,0,0,0,5,0,0,6,2
"66","[885] timeoutClickOn","D:\apps\table-jsf12\src\main\webapp\Web\MesaTrabalho\MesaGenerica.html?19:1-418:1?365:0-372:1",1,2,1,0,0,1,5,0,0,5,2
"67","[1194] fecharJanelaModalGenerica","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\VisualizarVersoesAnteriores\VisualizarVersoesAnteriores.xhtml?16:8-33:8?4:2-15:3",1,2,2,0,0,0,3,0,0,5,2
"68","[1207] trataFocoInicial","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\Sessao\EditarSessao.xhtml?18:16-148:16?4:3-12:4",1,2,1,0,0,0,4,0,0,5,2
"69","[1208] fecharDiv","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\Sessao\defineQuorumSessao.xhtml?15:4-29:4?3:1-13:2",1,2,2,0,0,0,3,0,0,5,2
"70","[1212] focusHoraLimiteDisponibilizacaoSeDataCompleta","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\Sessao\CriarSessao.xhtml?16:8-181:8?73:4-78:2",0,2,1,0,0,1,3,0,0,6,2
"71","[1213] focusHoraFechamentoPautaSeDataCompleta","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\Sessao\CriarSessao.xhtml?16:8-181:8?66:4-71:2",0,2,1,0,0,1,3,0,0,6,2
"72","[1218] defineFocusInicial","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\Sessao\CriarSessao.xhtml?16:8-181:8?18:4-24:5",0,2,1,0,0,1,4,0,0,4,2
"73","[1240] defineFocusInicial","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\Pauta\IncluirEmPautaFiltro.xhtml?37:16-118:1?22:8-28:9",0,2,1,0,0,1,4,0,0,4,2
"74","[1256] alteraFocoAposSelecionarTipo","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\ModeloDocumento\CopiarVariosModelos.xhtml?42:5-201:9?88:8-98:9",1,2,1,0,0,0,5,0,0,6,2
"75","[1257] alteraFocoAposSelecionarAreaFinalidade","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\ModeloDocumento\CopiarVariosModelos.xhtml?42:5-201:9?75:8-85:9",1,2,1,0,0,0,5,0,0,6,2
"76","[1264] 15:5-44:5?12:15-18:9 (expr)","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\InstrucaoGabinete\IniciarInstrucao\IniciarInstrucaoGenerico.xhtml?15:5-44:5?12:15-18:9",1,2,1,0,0,0,4,0,0,3,2
"77","[1296] focusBotaoPesquisarDocumento","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\Extrato\ExtratoNoGabinete.xhtml?16:8-49:8?22:2-27:6",0,2,1,0,0,1,3,0,0,4,2
"78","[1297] focusBotaoPesquisarProcesso","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\Extrato\ExtratoNoGabinete.xhtml?16:8-49:8?15:2-20:6",0,2,1,0,0,1,3,0,0,4,2
"79","[1341] alterarFocoAposSelecionarAutor","D:\apps\fulgas\fulgasWeb\src\main\resources\META-INF\resources\js\modelo_documento_pesquisar.js?82:0-95:1",1,2,1,0,0,0,5,0,0,6,2
"80","[160] 25:9-117:9?3:43-20:21 (expr)","D:\apps\wproc\src\main\webapp\Web\wproc\Recurso\ConcluirMeritoPelaUnidade.xhtml?25:9-117:9?3:43-20:21",2,3,2,0,0,0,3,0,0,5,3
"81","[165] 24:1-97:9?3:43-20:21 (expr)","D:\apps\wproc\src\main\webapp\Web\wproc\Recurso\ConcluirMeritoPelaSubunidade.xhtml?24:1-97:9?3:43-20:21",2,3,2,0,0,0,3,0,0,5,3
"82","[167] 25:9-62:9?3:43-20:21 (expr)","D:\apps\wproc\src\main\webapp\Web\wproc\Recurso\ConcluirExameDeMerito.xhtml?25:9-62:9?3:43-20:21",2,3,2,0,0,0,3,0,0,5,3
