"","functionName","fileLocation","declarationStmts","executableStmts","conditionalStmts","loopStmts","returnStmts","parametersCount","callExprs","newExprs","assignmentExprs","memberExprs","cluster"
"51","[534] seExibeModalConfirmacao","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\RepresentanteLegal\CadastrarRepresentacaoLegal.xhtml?30:9-171:9?43:16-48:17",1,1,1,0,0,0,1,0,0,1,2
"52","[535] seExibeModalConsultarPessoa","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\RepresentanteLegal\CadastrarRepresentacaoLegal.xhtml?30:9-171:9?35:16-40:17",1,1,1,0,0,0,1,0,0,1,2
"53","[693] 27:1-127:17?4:28-13:6 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\JuntarDocumento.xhtml?27:1-127:17?4:28-13:6",1,2,1,0,0,0,2,0,0,2,2
"54","[778] 30:1-48:3?2:29-7:5 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\IncluiAcompanhamento.xhtml?30:1-48:3?2:29-7:5",1,1,1,0,0,0,3,0,0,2,2
"55","[901] trataAparecimentoMensagemErroDuplicada","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\CriarDocumento\JanelaModalInserirMinutaDocumento.xhtml?46:8-159:5?20:1-25:2",1,1,1,0,0,0,3,0,0,2,2
"56","[916] 15:5-34:5?4:43-13:21 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\CopiarPecasEntreProcessos\SelecionaConfidencialidadeTipo.xhtml?15:5-34:5?4:43-13:21",1,2,1,0,0,0,2,0,0,3,2
"57","[917] 15:8-34:5?4:43-13:21 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\CopiarPecasDeOriginadorParaCbex\SelecionaConfidencialidadeTipo.xhtml?15:8-34:5?4:43-13:21",1,2,1,0,0,0,2,0,0,3,2
"58","[921] abreJanelaAssinaturaDocumento","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\ConversaoProcessoFisico\ConverterProcessoParaEletronico.xhtml?21:5-115:6?5:23-16:21",1,1,1,0,0,0,1,0,0,2,2
"59","[1044] definirEstadoInicial","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\AssinarComoCoparticipante.xhtml?21:8-81:17?12:19-20:20",1,2,1,0,0,0,2,0,0,0,2
"60","[1045] assinar","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\AssinarComoCoparticipante.xhtml?21:8-81:17?4:19-10:20",1,1,1,0,0,0,1,0,0,2,2
"61","[1052] setarAcaoDefaultViaJavascript","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Acao\PainelEnviarParaAcao.xhtml?21:5-40:5?7:4-13:5",1,1,1,0,0,0,2,0,0,1,2
"62","[1062] abrirAba","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Acao\GerenciarAcao.xhtml?32:13-62:13?6:16-11:17",1,1,1,0,0,1,2,0,0,2,2
"63","[1192] seExibeModalCpfJaCadastrado","D:\github\fontes2\takeOut\edoc\src\main\webapp\Web\eDoc\RepresentacaoLegal\CadastrarRepresentacaoLegal\CadastrarRepresentacaoLegal.xhtml?27:9-208:9?69:16-74:17",1,1,1,0,0,0,1,0,0,1,2
"64","[1193] seExibeModalIncluirPessoaOutros","D:\github\fontes2\takeOut\edoc\src\main\webapp\Web\eDoc\RepresentacaoLegal\CadastrarRepresentacaoLegal\CadastrarRepresentacaoLegal.xhtml?27:9-208:9?61:16-66:17",1,1,1,0,0,0,1,0,0,1,2
"65","[1194] seExibeModalIncluirPessoa","D:\github\fontes2\takeOut\edoc\src\main\webapp\Web\eDoc\RepresentacaoLegal\CadastrarRepresentacaoLegal\CadastrarRepresentacaoLegal.xhtml?27:9-208:9?53:16-58:17",1,1,1,0,0,0,1,0,0,1,2
